[detection] The camouflaged objects.
COD10K-CAM-1-Aquatic-4-Crocodile-110.jpg@#@<p>The camouflaged objects</p> {<1><0><100><99>}
COD10K-CAM-3-Flying-59-Grasshopper-3880.jpg@#@<p>The camouflaged objects</p> {<25><31><38><56>}<delim>{<25><34><39><56>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1730.jpg@#@<p>The camouflaged objects</p> {<0><1><100><98>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-936.jpg@#@<p>The camouflaged objects</p> {<0><2><81><100>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-312.jpg@#@<p>The camouflaged objects</p> {<0><64><100><100>}
COD10K-CAM-2-Terrestrial-36-Leopard-2070.jpg@#@<p>The camouflaged objects</p> {<17><43><65><69>}
COD10K-CAM-3-Flying-62-Mantis-4297.jpg@#@<p>The camouflaged objects</p> {<1><1><100><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1485.jpg@#@<p>The camouflaged objects</p> {<0><1><99><98>}
COD10K-CAM-2-Terrestrial-45-Spider-2720.jpg@#@<p>The camouflaged objects</p> {<0><13><100><98>}<delim>{<43><24><71><62>}
COD10K-CAM-1-Aquatic-8-FrogFish-305.jpg@#@<p>The camouflaged objects</p> {<23><9><98><95>}<delim>{<0><0><47><31>}
COD10K-CAM-2-Terrestrial-45-Spider-2683.jpg@#@<p>The camouflaged objects</p> {<24><0><100><100>}<delim>{<23><15><100><98>}<delim>{<23><0><100><97>}<delim>{<23><15><100><97>}
COD10K-CAM-3-Flying-61-Katydid-4118.jpg@#@<p>The camouflaged objects</p> {<1><1><99><98>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-402.jpg@#@<p>The camouflaged objects</p> {<24><13><65><80>}
COD10K-CAM-1-Aquatic-13-Pipefish-518.jpg@#@<p>The camouflaged objects</p> {<0><38><69><64>}
COD10K-CAM-3-Flying-62-Mantis-4248.jpg@#@<p>The camouflaged objects</p> {<39><18><70><62>}<delim>{<49><50><67><62>}
COD10K-CAM-3-Flying-64-Moth-4483.jpg@#@<p>The camouflaged objects</p> {<35><29><74><63>}<delim>{<37><28><77><64>}<delim>{<0><0><17><62>}<delim>{<0><0><17><62>}
COD10K-CAM-3-Flying-63-Mockingbird-4417.jpg@#@<p>The camouflaged objects</p> {<9><51><44><73>}<delim>{<20><58><27><69>}<delim>{<6><76><17><91>}
COD10K-CAM-2-Terrestrial-23-Cat-1522.jpg@#@<p>The camouflaged objects</p> {<39><26><61><74>}<delim>{<0><0><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3784.jpg@#@<p>The camouflaged objects</p> {<9><10><46><42>}<delim>{<35><10><63><41>}<delim>{<48><0><100><63>}
COD10K-CAM-3-Flying-64-Moth-4431.jpg@#@<p>The camouflaged objects</p> {<35><27><84><79>}<delim>{<0><0><60><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3732.jpg@#@<p>The camouflaged objects</p> {<41><42><59><58>}<delim>{<40><43><59><57>}
COD10K-CAM-2-Terrestrial-22-Bug-1282.jpg@#@<p>The camouflaged objects</p> {<46><13><65><47>}<delim>{<64><18><92><36>}<delim>{<33><0><66><53>}<delim>{<90><9><100><36>}
COD10K-CAM-1-Aquatic-6-Fish-138.jpg@#@<p>The camouflaged objects</p> {<19><19><72><64>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1711.jpg@#@<p>The camouflaged objects</p> {<47><45><57><61>}<delim>{<46><46><54><58>}<delim>{<52><39><56><49>}<delim>{<45><41><55><58>}
COD10K-CAM-2-Terrestrial-21-Ant-1238.jpg@#@<p>The camouflaged objects</p> {<1><0><94><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1387.jpg@#@<p>The camouflaged objects</p> {<45><37><62><65>}<delim>{<0><0><100><100>}
COD10K-CAM-3-Flying-65-Owl-4632.jpg@#@<p>The camouflaged objects</p> {<2><3><74><95>}
COD10K-CAM-2-Terrestrial-38-Lizard-2248.jpg@#@<p>The camouflaged objects</p> {<27><21><99><80>}<delim>{<25><43><99><80>}
COD10K-CAM-1-Aquatic-11-Octopus-451.jpg@#@<p>The camouflaged objects</p> {<27><19><56><75>}<delim>{<68><68><89><100>}<delim>{<36><15><58><54>}
COD10K-CAM-4-Amphibian-68-Toad-5020.jpg@#@<p>The camouflaged objects</p> {<31><26><60><53>}<delim>{<71><52><100><99>}<delim>{<30><26><54><50>}
COD10K-CAM-1-Aquatic-6-Fish-136.jpg@#@<p>The camouflaged objects</p> {<58><46><71><78>}<delim>{<0><37><24><70>}
COD10K-CAM-2-Terrestrial-37-Lion-2112.jpg@#@<p>The camouflaged objects</p> {<71><28><94><45>}
COD10K-CAM-2-Terrestrial-45-Spider-2796.jpg@#@<p>The camouflaged objects</p> {<8><25><94><87>}<delim>{<60><13><99><77>}
COD10K-CAM-2-Terrestrial-31-Gecko-1893.jpg@#@<p>The camouflaged objects</p> {<46><59><63><70>}<delim>{<1><0><20><36>}<delim>{<13><16><62><60>}<delim>{<0><1><100><100>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-395.jpg@#@<p>The camouflaged objects</p> {<41><4><96><70>}<delim>{<41><3><95><70>}
COD10K-CAM-2-Terrestrial-24-Caterpillar-1623.jpg@#@<p>The camouflaged objects</p> {<1><2><99><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1420.jpg@#@<p>The camouflaged objects</p> {<87><28><100><52>}<delim>{<94><28><100><46>}<delim>{<48><3><100><48>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-348.jpg@#@<p>The camouflaged objects</p> {<12><1><89><99>}<delim>{<43><20><71><69>}
COD10K-CAM-1-Aquatic-18-StarFish-1162.jpg@#@<p>The camouflaged objects</p> {<1><0><100><99>}<delim>{<45><22><87><70>}
COD10K-CAM-2-Terrestrial-33-Grouse-1961.jpg@#@<p>The camouflaged objects</p> {<1><1><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3772.jpg@#@<p>The camouflaged objects</p> {<42><18><63><65>}<delim>{<12><0><74><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2534.jpg@#@<p>The camouflaged objects</p> {<7><6><100><100>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-930.jpg@#@<p>The camouflaged objects</p> {<1><39><70><99>}<delim>{<0><1><100><100>}
COD10K-CAM-1-Aquatic-13-Pipefish-843.jpg@#@<p>The camouflaged objects</p> {<0><18><100><100>}
COD10K-CAM-3-Flying-53-Bird-3211.jpg@#@<p>The camouflaged objects</p> {<0><1><100><100>}
COD10K-CAM-3-Flying-65-Owl-4593.jpg@#@<p>The camouflaged objects</p> {<30><29><47><51>}<delim>{<30><26><46><46>}
COD10K-CAM-2-Terrestrial-42-Sciuridae-2380.jpg@#@<p>The camouflaged objects</p> {<60><0><93><54>}<delim>{<15><17><32><38>}<delim>{<31><15><52><37>}<delim>{<1><0><23><38>}
COD10K-CAM-3-Flying-59-Grasshopper-3681.jpg@#@<p>The camouflaged objects</p> {<13><5><96><75>}
COD10K-CAM-2-Terrestrial-45-Spider-2587.jpg@#@<p>The camouflaged objects</p> {<35><26><86><98>}<delim>{<52><45><81><87>}
COD10K-CAM-3-Flying-62-Mantis-4342.jpg@#@<p>The camouflaged objects</p> {<1><2><100><100>}
COD10K-CAM-2-Terrestrial-29-Dog-1832.jpg@#@<p>The camouflaged objects</p> {<0><1><100><80>}
COD10K-CAM-2-Terrestrial-36-Leopard-2090.jpg@#@<p>The camouflaged objects</p> {<15><40><62><79>}<delim>{<41><38><55><49>}
COD10K-CAM-2-Terrestrial-28-Deer-1764.jpg@#@<p>The camouflaged objects</p> {<39><7><92><91>}<delim>{<40><15><92><89>}
COD10K-CAM-3-Flying-61-Katydid-4107.jpg@#@<p>The camouflaged objects</p> {<9><1><87><100>}
COD10K-CAM-3-Flying-65-Owl-4515.jpg@#@<p>The camouflaged objects</p> {<15><3><70><92>}<delim>{<61><23><97><96>}
COD10K-CAM-3-Flying-65-Owl-4654.jpg@#@<p>The camouflaged objects</p> {<42><37><59><71>}<delim>{<65><0><82><81>}<delim>{<43><0><64><100>}
COD10K-CAM-2-Terrestrial-38-Lizard-2190.jpg@#@<p>The camouflaged objects</p> {<50><26><100><53>}<delim>{<73><26><99><54>}
COD10K-CAM-2-Terrestrial-45-Spider-2508.jpg@#@<p>The camouflaged objects</p> {<34><21><65><75>}
COD10K-CAM-1-Aquatic-13-Pipefish-679.jpg@#@<p>The camouflaged objects</p> {<26><11><58><53>}<delim>{<24><28><40><59>}
COD10K-CAM-1-Aquatic-13-Pipefish-635.jpg@#@<p>The camouflaged objects</p> {<50><27><92><71>}<delim>{<83><51><100><67>}
COD10K-CAM-3-Flying-59-Grasshopper-3786.jpg@#@<p>The camouflaged objects</p> {<18><21><89><100>}<delim>{<0><19><46><70>}
COD10K-CAM-3-Flying-59-Grasshopper-3714.jpg@#@<p>The camouflaged objects</p> {<24><70><53><91>}<delim>{<69><8><90><21>}<delim>{<0><0><100><100>}
COD10K-CAM-1-Aquatic-16-Shrimp-1142.jpg@#@<p>The camouflaged objects</p> {<0><1><100><100>}<delim>{<66><1><99><53>}
COD10K-CAM-2-Terrestrial-45-Spider-2650.jpg@#@<p>The camouflaged objects</p> {<14><5><65><88>}
COD10K-CAM-2-Terrestrial-38-Lizard-2295.jpg@#@<p>The camouflaged objects</p> {<2><53><60><81>}<delim>{<1><67><29><84>}
COD10K-CAM-1-Aquatic-15-SeaHorse-1066.jpg@#@<p>The camouflaged objects</p> {<20><1><84><100>}<delim>{<78><15><100><99>}
COD10K-CAM-1-Aquatic-15-SeaHorse-986.jpg@#@<p>The camouflaged objects</p> {<24><15><99><83>}
COD10K-CAM-3-Flying-65-Owl-4514.jpg@#@<p>The camouflaged objects</p> {<16><0><65><38>}<delim>{<49><0><65><32>}<delim>{<33><0><65><47>}
COD10K-CAM-1-Aquatic-13-Pipefish-810.jpg@#@<p>The camouflaged objects</p> {<12><5><89><100>}<delim>{<3><2><62><100>}<delim>{<45><43><89><100>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-383.jpg@#@<p>The camouflaged objects</p> {<1><0><74><98>}
COD10K-CAM-1-Aquatic-15-SeaHorse-1071.jpg@#@<p>The camouflaged objects</p> {<28><11><79><85>}<delim>{<0><1><99><65>}
COD10K-CAM-2-Terrestrial-29-Dog-1827.jpg@#@<p>The camouflaged objects</p> {<42><37><54><46>}<delim>{<49><36><53><43>}
COD10K-CAM-1-Aquatic-18-StarFish-1181.jpg@#@<p>The camouflaged objects</p> {<1><43><99><100>}
COD10K-CAM-3-Flying-55-Butterfly-3320.jpg@#@<p>The camouflaged objects</p> {<1><0><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3808.jpg@#@<p>The camouflaged objects</p> {<1><0><100><98>}
COD10K-CAM-1-Aquatic-13-Pipefish-546.jpg@#@<p>The camouflaged objects</p> {<1><2><98><98>}
COD10K-CAM-1-Aquatic-15-SeaHorse-992.jpg@#@<p>The camouflaged objects</p> {<1><1><100><100>}<delim>{<2><3><98><100>}
COD10K-CAM-3-Flying-61-Katydid-3956.jpg@#@<p>The camouflaged objects</p> {<8><20><93><91>}<delim>{<72><47><91><72>}
COD10K-CAM-2-Terrestrial-23-Cat-1459.jpg@#@<p>The camouflaged objects</p> {<1><56><73><100>}<delim>{<81><51><96><64>}<delim>{<45><1><55><20>}
COD10K-CAM-3-Flying-61-Katydid-4193.jpg@#@<p>The camouflaged objects</p> {<1><8><98><97>}
COD10K-CAM-3-Flying-53-Bird-3196.jpg@#@<p>The camouflaged objects</p> {<1><7><100><100>}<delim>{<74><30><86><59>}
COD10K-CAM-3-Flying-65-Owl-4540.jpg@#@<p>The camouflaged objects</p> {<1><0><79><100>}<delim>{<0><0><100><100>}
COD10K-CAM-2-Terrestrial-40-Rabbit-2358.jpg@#@<p>The camouflaged objects</p> {<1><4><98><97>}
COD10K-CAM-3-Flying-64-Moth-4467.jpg@#@<p>The camouflaged objects</p> {<12><12><26><33>}<delim>{<59><33><72><58>}<delim>{<37><33><49><62>}<delim>{<78><8><88><33>}<delim>{<35><32><49><62>}<delim>{<85><9><97><40>}
COD10K-CAM-3-Flying-53-Bird-3028.jpg@#@<p>The camouflaged objects</p> {<16><32><29><51>}<delim>{<0><0><100><100>}
COD10K-CAM-4-Amphibian-68-Toad-4912.jpg@#@<p>The camouflaged objects</p> {<12><8><93><94>}<delim>{<46><9><93><71>}
COD10K-CAM-2-Terrestrial-23-Cat-1380.jpg@#@<p>The camouflaged objects</p> {<0><1><100><99>}
COD10K-CAM-3-Flying-60-Heron-3898.jpg@#@<p>The camouflaged objects</p> {<50><19><74><89>}<delim>{<1><1><100><100>}
COD10K-CAM-1-Aquatic-18-StarFish-1177.jpg@#@<p>The camouflaged objects</p> {<49><21><76><59>}<delim>{<0><10><100><100>}
COD10K-CAM-3-Flying-53-Bird-3080.jpg@#@<p>The camouflaged objects</p> {<0><0><99><100>}<delim>{<43><0><97><51>}
COD10K-CAM-4-Amphibian-68-Toad-4997.jpg@#@<p>The camouflaged objects</p> {<22><27><85><76>}
COD10K-CAM-2-Terrestrial-44-Snake-2444.jpg@#@<p>The camouflaged objects</p> {<35><10><87><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1421.jpg@#@<p>The camouflaged objects</p> {<1><1><100><100>}
COD10K-CAM-1-Aquatic-13-Pipefish-683.jpg@#@<p>The camouflaged objects</p> {<1><21><96><97>}<delim>{<35><46><78><70>}
COD10K-CAM-3-Flying-65-Owl-4555.jpg@#@<p>The camouflaged objects</p> {<48><1><99><100>}<delim>{<1><1><100><100>}
COD10K-CAM-3-Flying-53-Bird-3038.jpg@#@<p>The camouflaged objects</p> {<26><43><77><57>}<delim>{<32><45><52><53>}
COD10K-CAM-4-Amphibian-68-Toad-4883.jpg@#@<p>The camouflaged objects.</p> {<1><0><100><97>}<delim>{<45><0><82><48>}
COD10K-CAM-3-Flying-65-Owl-4618.jpg@#@<p>The camouflaged objects</p> {<7><29><55><79>}<delim>{<51><15><94><82>}
COD10K-CAM-3-Flying-62-Mantis-4281.jpg@#@<p>The camouflaged objects</p> {<0><1><86><100>}<delim>{<35><0><91><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2581.jpg@#@<p>The camouflaged objects</p> {<38><19><66><58>}<delim>{<0><0><74><56>}<delim>{<1><0><20><56>}
COD10K-CAM-3-Flying-59-Grasshopper-3644.jpg@#@<p>The camouflaged objects</p> {<10><34><96><98>}<delim>{<0><2><54><23>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1699.jpg@#@<p>The camouflaged objects</p> {<20><19><78><100>}
COD10K-CAM-3-Flying-61-Katydid-4016.jpg@#@<p>The camouflaged objects</p> {<5><7><95><99>}<delim>{<24><31><99><100>}
COD10K-CAM-3-Flying-61-Katydid-4162.jpg@#@<p>The camouflaged objects</p> {<14><8><53><96>}<delim>{<0><0><100><100>}
COD10K-CAM-1-Aquatic-15-SeaHorse-981.jpg@#@<p>The camouflaged objects</p> {<28><1><97><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1383.jpg@#@<p>The camouflaged objects</p> {<0><1><78><96>}
COD10K-CAM-4-Amphibian-68-Toad-4990.jpg@#@<p>The camouflaged objects</p> {<24><13><86><82>}<delim>{<1><0><97><56>}
COD10K-CAM-1-Aquatic-15-SeaHorse-984.jpg@#@<p>The camouflaged objects</p> {<20><26><64><99>}<delim>{<0><1><100><56>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-889.jpg@#@<p>The camouflaged objects</p> {<0><13><81><84>}
COD10K-CAM-1-Aquatic-7-Flounder-262.jpg@#@<p>The camouflaged objects</p> {<12><25><84><77>}
COD10K-CAM-3-Flying-56-Cicada-3551.jpg@#@<p>The camouflaged objects</p> {<42><3><68><99>}<delim>{<43><1><56><98>}
COD10K-CAM-3-Flying-61-Katydid-4025.jpg@#@<p>The camouflaged objects</p> {<28><12><72><93>}<delim>{<36><35><73><93>}
COD10K-CAM-1-Aquatic-7-Flounder-266.jpg@#@<p>The camouflaged objects</p> {<20><65><59><90>}<delim>{<71><38><100><90>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-382.jpg@#@<p>The camouflaged objects</p> {<2><3><98><99>}
COD10K-CAM-3-Flying-59-Grasshopper-3641.jpg@#@<p>The camouflaged objects</p> {<0><0><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3873.jpg@#@<p>The camouflaged objects</p> {<27><15><90><89>}<delim>{<63><64><90><90>}
COD10K-CAM-3-Flying-51-Bee-2997.jpg@#@<p>The camouflaged objects</p> {<73><70><98><100>}<delim>{<57><10><64><23>}<delim>{<21><60><37><82>}<delim>{<0><83><8><100>}<delim>{<61><1><77><100>}<delim>{<23><67><37><83>}
COD10K-CAM-2-Terrestrial-38-Lizard-2150.jpg@#@<p>The camouflaged objects</p> {<0><68><100><97>}
COD10K-CAM-3-Flying-55-Butterfly-3319.jpg@#@<p>The camouflaged objects</p> {<38><43><56><62>}<delim>{<50><46><78><61>}
COD10K-CAM-3-Flying-61-Katydid-3965.jpg@#@<p>The camouflaged objects</p> {<1><0><99><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3727.jpg@#@<p>The camouflaged objects</p> {<48><42><89><83>}<delim>{<1><0><100><100>}
COD10K-CAM-3-Flying-53-Bird-3121.jpg@#@<p>The camouflaged objects</p> {<44><28><76><91>}<delim>{<0><1><100><100>}
COD10K-CAM-3-Flying-63-Mockingbird-4409.jpg@#@<p>The camouflaged objects</p> {<1><0><100><99>}
COD10K-CAM-2-Terrestrial-45-Spider-2524.jpg@#@<p>The camouflaged objects</p> {<1><1><100><100>}
COD10K-CAM-3-Flying-53-Bird-3223.jpg@#@<p>The camouflaged objects</p> {<57><70><78><81>}<delim>{<23><11><49><34>}
COD10K-CAM-3-Flying-57-Dragonfly-3575.jpg@#@<p>The camouflaged objects</p> {<14><12><67><91>}
COD10K-CAM-2-Terrestrial-45-Spider-2670.jpg@#@<p>The camouflaged objects</p> {<1><0><99><100>}
COD10K-CAM-3-Flying-61-Katydid-4091.jpg@#@<p>The camouflaged objects</p> {<46><29><57><58>}<delim>{<9><15><51><100>}
COD10K-CAM-3-Flying-62-Mantis-4285.jpg@#@<p>The camouflaged objects</p> {<46><1><57><99>}<delim>{<0><0><23><100>}<delim>{<16><0><100><100>}
COD10K-CAM-1-Aquatic-13-Pipefish-781.jpg@#@<p>The camouflaged objects</p> {<21><71><49><98>}<delim>{<65><34><86><72>}
COD10K-CAM-2-Terrestrial-46-StickInsect-2839.jpg@#@<p>The camouflaged objects</p> {<1><1><100><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3795.jpg@#@<p>The camouflaged objects</p> {<2><39><100><95>}
COD10K-CAM-2-Terrestrial-23-Cat-1446.jpg@#@<p>The camouflaged objects</p> {<13><0><99><100>}
COD10K-CAM-1-Aquatic-13-Pipefish-730.jpg@#@<p>The camouflaged objects</p> {<1><0><99><98>}
COD10K-CAM-3-Flying-50-Bat-2975.jpg@#@<p>The camouflaged objects</p> {<23><1><98><94>}<delim>{<61><0><100><15>}<delim>{<38><0><63><23>}
COD10K-CAM-2-Terrestrial-36-Leopard-2071.jpg@#@<p>The camouflaged objects</p> {<57><28><79><41>}<delim>{<0><63><31><82>}
COD10K-CAM-2-Terrestrial-38-Lizard-2232.jpg@#@<p>The camouflaged objects</p> {<1><1><98><77>}
COD10K-CAM-3-Flying-59-Grasshopper-3859.jpg@#@<p>The camouflaged objects</p> {<20><14><79><63>}
COD10K-CAM-1-Aquatic-13-Pipefish-497.jpg@#@<p>The camouflaged objects</p> {<0><14><82><99>}
COD10K-CAM-4-Amphibian-67-Frog-4733.jpg@#@<p>The camouflaged objects</p> {<48><41><77><76>}<delim>{<2><39><35><100>}
COD10K-CAM-1-Aquatic-15-SeaHorse-972.jpg@#@<p>The camouflaged objects</p> {<14><2><99><73>}
COD10K-CAM-1-Aquatic-11-Octopus-454.jpg@#@<p>The camouflaged objects</p> {<50><43><71><70>}<delim>{<23><23><54><46>}
COD10K-CAM-2-Terrestrial-31-Gecko-1901.jpg@#@<p>The camouflaged objects</p> {<10><0><63><100>}<delim>{<59><84><100><100>}<delim>{<1><1><27><100>}
COD10K-CAM-3-Flying-59-Grasshopper-3645.jpg@#@<p>The camouflaged objects</p> {<21><30><84><65>}
COD10K-CAM-2-Terrestrial-22-Bug-1272.jpg@#@<p>The camouflaged objects</p> {<23><34><50><67>}<delim>{<24><35><51><67>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-881.jpg@#@<p>The camouflaged objects</p> {<1><0><100><98>}<delim>{<1><2><100><97>}
COD10K-CAM-5-Other-69-Other-5027.jpg@#@<p>The camouflaged objects</p> {<1><1><99><100>}
COD10K-CAM-2-Terrestrial-40-Rabbit-2347.jpg@#@<p>The camouflaged objects.</p> {<0><1><100><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1506.jpg@#@<p>The camouflaged objects</p> {<0><1><98><100>}
COD10K-CAM-3-Flying-61-Katydid-4093.jpg@#@<p>The camouflaged objects</p> {<1><22><99><87>}<delim>{<0><46><99><98>}
COD10K-CAM-1-Aquatic-13-Pipefish-713.jpg@#@<p>The camouflaged objects</p> {<49><23><56><51>}<delim>{<1><52><38><100>}
COD10K-CAM-1-Aquatic-14-ScorpionFish-853.jpg@#@<p>The camouflaged objects</p> {<1><20><100><100>}<delim>{<0><28><66><99>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-390.jpg@#@<p>The camouflaged objects</p> {<25><8><100><79>}
COD10K-CAM-3-Flying-59-Grasshopper-3745.jpg@#@<p>The camouflaged objects</p> {<16><19><89><94>}<delim>{<50><20><74><83>}<delim>{<16><0><53><21>}
COD10K-CAM-3-Flying-59-Grasshopper-3796.jpg@#@<p>The camouflaged objects</p> {<1><34><63><99>}
COD10K-CAM-2-Terrestrial-45-Spider-2535.jpg@#@<p>The camouflaged objects</p> {<24><45><61><91>}
COD10K-CAM-3-Flying-53-Bird-3021.jpg@#@<p>The camouflaged objects</p> {<34><45><56><65>}<delim>{<1><0><100><100>}
COD10K-CAM-2-Terrestrial-44-Snake-2437.jpg@#@<p>The camouflaged objects</p> {<27><50><89><87>}<delim>{<48><50><65><93>}
COD10K-CAM-1-Aquatic-13-Pipefish-841.jpg@#@<p>The camouflaged objects</p> {<17><1><100><98>}<delim>{<14><29><50><67>}
COD10K-CAM-3-Flying-65-Owl-4564.jpg@#@<p>The camouflaged objects.</p> {<54><27><73><81>}<delim>{<0><2><47><76>}
COD10K-CAM-2-Terrestrial-45-Spider-2673.jpg@#@<p>The camouflaged objects</p> {<17><11><94><98>}<delim>{<20><33><64><98>}
COD10K-CAM-3-Flying-65-Owl-4517.jpg@#@<p>The camouflaged objects</p> {<1><1><100><75>}<delim>{<45><62><99><98>}
COD10K-CAM-3-Flying-64-Moth-4447.jpg@#@<p>The camouflaged objects</p> {<29><17><65><68>}
COD10K-CAM-1-Aquatic-11-Octopus-466.jpg@#@<p>The camouflaged objects</p> {<56><18><78><53>}<delim>{<11><25><49><84>}<delim>{<56><58><64><79>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-347.jpg@#@<p>The camouflaged objects</p> {<3><4><100><99>}
COD10K-CAM-1-Aquatic-13-Pipefish-642.jpg@#@<p>The camouflaged objects</p> {<1><0><98><99>}
COD10K-CAM-2-Terrestrial-38-Lizard-2294.jpg@#@<p>The camouflaged objects</p> {<34><37><87><90>}<delim>{<15><25><35><53>}<delim>{<1><56><17><59>}
COD10K-CAM-2-Terrestrial-47-Tiger-2910.jpg@#@<p>The camouflaged objects</p> {<54><23><63><52>}<delim>{<89><10><99><61>}
COD10K-CAM-1-Aquatic-13-Pipefish-529.jpg@#@<p>The camouflaged objects</p> {<53><35><91><80>}<delim>{<63><42><89><79>}
COD10K-CAM-2-Terrestrial-26-Chameleon-1701.jpg@#@<p>The camouflaged objects</p> {<27><30><65><100>}<delim>{<46><29><65><81>}
COD10K-CAM-2-Terrestrial-22-Bug-1268.jpg@#@<p>The camouflaged objects</p> {<14><24><72><80>}<delim>{<35><24><72><83>}
COD10K-CAM-3-Flying-53-Bird-3132.jpg@#@<p>The camouflaged objects</p> {<50><41><82><73>}<delim>{<1><0><22><61>}
COD10K-CAM-3-Flying-61-Katydid-4155.jpg@#@<p>The camouflaged objects</p> {<12><14><83><69>}<delim>{<11><39><85><71>}<delim>{<0><0><100><100>}
COD10K-CAM-2-Terrestrial-45-Spider-2782.jpg@#@<p>The camouflaged objects</p> {<48><23><92><75>}<delim>{<61><30><93><70>}
COD10K-CAM-3-Flying-61-Katydid-4060.jpg@#@<p>The camouflaged objects</p> {<10><9><93><85>}
COD10K-CAM-1-Aquatic-11-Octopus-468.jpg@#@<p>The camouflaged objects</p> {<25><18><74><90>}<delim>{<25><18><74><90>}
COD10K-CAM-2-Terrestrial-23-Cat-1483.jpg@#@<p>The camouflaged objects</p> {<49><50><64><100>}<delim>{<78><53><98><97>}<delim>{<2><55><19><68>}<delim>{<39><49><61><96>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-350.jpg@#@<p>The camouflaged objects</p> {<8><16><90><85>}<delim>{<32><17><91><77>}
COD10K-CAM-3-Flying-59-Grasshopper-3658.jpg@#@<p>The camouflaged objects</p> {<23><0><75><80>}
COD10K-CAM-2-Terrestrial-23-Cat-1419.jpg@#@<p>The camouflaged objects</p> {<35><20><91><87>}<delim>{<64><3><91><51>}<delim>{<0><1><25><30>}<delim>{<46><3><78><67>}
COD10K-CAM-3-Flying-62-Mantis-4268.jpg@#@<p>The camouflaged objects</p> {<15><7><98><98>}<delim>{<29><34><50><48>}
COD10K-CAM-2-Terrestrial-33-Grouse-1952.jpg@#@<p>The camouflaged objects</p> {<1><1><99><98>}
COD10K-CAM-2-Terrestrial-25-Centipede-1659.jpg@#@<p>The camouflaged objects</p> {<15><27><34><48>}<delim>{<57><40><86><81>}
COD10K-CAM-3-Flying-65-Owl-4648.jpg@#@<p>The camouflaged objects</p> {<1><0><100><98>}
COD10K-CAM-1-Aquatic-5-CrocodileFish-131.jpg@#@<p>The camouflaged objects</p> {<29><30><88><71>}<delim>{<1><1><100><99>}
COD10K-CAM-3-Flying-58-Frogmouth-3610.jpg@#@<p>The camouflaged objects</p> {<1><0><32><64>}<delim>{<15><1><89><100>}
COD10K-CAM-2-Terrestrial-23-Cat-1377.jpg@#@<p>The camouflaged objects</p> {<1><39><99><98>}
COD10K-CAM-3-Flying-59-Grasshopper-3857.jpg@#@<p>The camouflaged objects</p> {<1><0><100><100>}
COD10K-CAM-4-Amphibian-68-Toad-5011.jpg@#@<p>The camouflaged objects</p> {<34><29><89><84>}<delim>{<61><69><77><84>}
COD10K-CAM-1-Aquatic-9-GhostPipefish-323.jpg@#@<p>The camouflaged objects</p> {<35><78><61><94>}<delim>{<37><39><71><72>}
COD10K-CAM-2-Terrestrial-45-Spider-2544.jpg@#@<p>The camouflaged objects</p> {<41><28><83><80>}<delim>{<0><1><100><98>}
COD10K-CAM-1-Aquatic-13-Pipefish-707.jpg@#@<p>The camouflaged objects</p> {<41><42><99><61>}<delim>{<0><47><100><100>}
COD10K-CAM-3-Flying-53-Bird-3215.jpg@#@<p>The camouflaged objects</p> {<0><0><56><24>}
COD10K-CAM-2-Terrestrial-29-Dog-1816.jpg@#@<p>The camouflaged objects</p> {<41><52><94><76>}<delim>{<0><1><53><69>}
COD10K-CAM-2-Terrestrial-45-Spider-2760.jpg@#@<p>The camouflaged objects</p> {<9><1><90><100>}
COD10K-CAM-4-Amphibian-68-Toad-4941.jpg@#@<p>The camouflaged objects</p> {<40><49><57><68>}<delim>{<39><27><66><68>}
